,share,sector,year,,,,,,,,,,,,
503,0.018766936,transport,2050,,,,,,,,,,,,
504,0.021059121,transport,2050,,,,,,,,,,,,
505,0.026965093,transport,2050,,,,,,,,,,,,
506,0.022012636,transport,2050,,,,,,,,,,,,
507,0.020116553,transport,2050,,,,,,,,,,,,
508,0.023948886,transport,2050,,,,,,,,,,,,
509,0.000199194,transport,2050,,,,,,,,,,,,
510,0.000223523,transport,2050,,,,,,,,,,,,
511,0.00028621,transport,2050,,,,,,,,,,,,
512,0.000233644,transport,2050,,,,,,,,,,,,
513,0.000213519,transport,2050,,,,,,,,,,,,
514,0.000254195,transport,2050,,,,,,,,,,,,
515,0.013431962,transport,2050,,,,,,,,,,,,
516,0.015745741,transport,2050,,,,,,,,,,,,
517,0.018259413,transport,2050,,,,,,,,,,,,
518,0.015853819,transport,2050,,,,,,,,,,,,
519,0.014446307,transport,2050,,,,,,,,,,,,
520,0.016221906,transport,2050,,,,,,,,,,,,
521,0.048235286,transport,2050,,,,,,,,,,,,
522,0.056544259,transport,2050,,,,,,,,,,,,
523,0.065571065,transport,2050,,,,,,,,,,,,
524,0.056932376,transport,2050,,,,,,,,,,,,
525,0.051877885,transport,2050,,,,,,,,,,,,
526,0.058254207,transport,2050,,,,,,,,,,,,
527,0.000373944,transport,2050,,,,,,,,,,,,
528,0.00043836,transport,2050,,,,,,,,,,,,
529,0.00050834,transport,2050,,,,,,,,,,,,
530,0.000441369,transport,2050,,,,,,,,,,,,
531,0.000402184,transport,2050,,,,,,,,,,,,
532,0.000451616,transport,2050,,,,,,,,,,,,
